Fecha,Tasa_participacion
2005-01-01,40.351692264117
2005-02-01,40.432370270507
2005-03-01,41.17970879048
2005-04-01,39.732704675607
2005-05-01,41.02777252129
2005-06-01,41.406411996673
2005-07-01,41.399796313329
2005-08-01,41.474189695469
2005-09-01,42.054636931347
2005-10-01,41.517056706663
2005-11-01,41.10883628611
2005-12-01,41.894979578428
2006-01-01,41.81031218822
2006-02-01,41.928700980511
2006-03-01,41.937132529374
2006-04-01,41.904573221118
2006-05-01,42.209318012998
2006-06-01,40.879482502518
2006-07-01,43.158255521993
2006-08-01,42.496855286007
2006-09-01,41.975267472714
2006-10-01,42.751200013255
2006-11-01,42.457498540402
2006-12-01,41.902422678749
2007-01-01,42.698649923986
2007-02-01,42.068835418019
2007-03-01,42.146386657546
2007-04-01,42.166425495735
2007-05-01,42.020526959777
2007-06-01,42.179370546598
2007-07-01,42.590729290859
2007-08-01,41.990909554578
2007-09-01,41.797373914139
2007-10-01,43.128190329667
2007-11-01,42.958131666
2007-12-01,43.82415840601
2008-01-01,42.714339579212
2008-02-01,43.373371696623
2008-03-01,43.132615748155
2008-04-01,43.370684315282
2008-05-01,42.417983937519
2008-06-01,42.573951039398
2008-07-01,41.967471702713
2008-08-01,42.364669174005
2008-09-01,42.12093961568
2008-10-01,41.336333554656
2008-11-01,42.372871679355
2008-12-01,41.850737010735
2009-01-01,42.286582580583
2009-02-01,42.411358479598
2009-03-01,41.365687626505
2009-04-01,41.782549184409
2009-05-01,42.404046601413
2009-06-01,42.012303039797
2009-07-01,42.63090323867
2009-08-01,44.821985189509
2009-09-01,44.136823136764
2009-10-01,43.686899829838
2009-11-01,43.467274310741
2009-12-01,43.421879897855
2010-01-01,43.366709304853
2010-02-01,42.484579516215
2010-03-01,43.247494632931
2010-04-01,43.239707903349
2010-05-01,43.129843711027
2010-06-01,42.708744957738
2010-07-01,42.418044573762
2010-08-01,43.385071637094
2010-09-01,42.796395584246
2010-10-01,41.781596899612
2010-11-01,41.448363124193
2010-12-01,41.419434088682
2011-01-01,41.702634925283
2011-02-01,42.006588671359
2011-03-01,42.128663335048
2011-04-01,42.344035644601
2011-05-01,42.272188915111
2011-06-01,42.681579315033
2011-07-01,42.892273430683
2011-08-01,42.888764447132
2011-09-01,43.273203615854
2011-10-01,44.788463000302
2011-11-01,43.763734694664
2011-12-01,44.221842983433
2012-01-01,43.649143882523
2012-02-01,43.19021562839
2012-03-01,43.86806525161
2012-04-01,43.621287859086
2012-05-01,44.368659177307
2012-06-01,44.778097511519
2012-07-01,44.012871922645
2012-08-01,44.854212228615
2012-09-01,44.292795481477
2012-10-01,43.965687692103
2012-11-01,44.148549724754
2012-12-01,43.229397923157
2013-01-01,43.324369401816
2013-02-01,44.065214684941
2013-03-01,42.890944150861
2013-04-01,43.928853751809
2013-05-01,44.539689191881
2013-06-01,43.967429273194
2013-07-01,44.164590842357
2013-08-01,43.910159969799
2013-09-01,43.957351617203
2013-10-01,44.270910895333
2013-11-01,44.150695206045
2013-12-01,45.024106345351
2014-01-01,44.168261791417
2014-02-01,42.819091988191
2014-03-01,44.436740606798
2014-04-01,43.810304932866
2014-05-01,42.867433059634
2014-06-01,42.730096345611
2014-07-01,43.43750746139
2014-08-01,42.475273423355
2014-09-01,42.980452045425
2014-10-01,42.549612719852
2014-11-01,42.462939480649
2014-12-01,43.360772530737
2015-01-01,43.076912592455
2015-02-01,42.982380112091
2015-03-01,42.97429389028
2015-04-01,42.857586599114
2015-05-01,42.900741368543
2015-06-01,43.54572819151
2015-07-01,43.006430830741
2015-08-01,43.698521170217
2015-09-01,43.307934210555
2015-10-01,43.856050647445
2015-11-01,45.2730073052
2015-12-01,43.663908873186
2016-01-01,43.547592702538
2016-02-01,43.745984733259
2016-03-01,43.169067931587
2016-04-01,43.634682119497
2016-05-01,43.794833595289
2016-06-01,42.507724144836
2016-07-01,44.225011942751
2016-08-01,43.854147067111
2016-09-01,43.341214704588
2016-10-01,43.372297181493
2016-11-01,43.34164688346
2016-12-01,43.201846515883
2017-01-01,43.292686383298
2017-02-01,43.55464038397
2017-03-01,43.353840717005
2017-04-01,42.711372874825
2017-05-01,43.02252107563
2017-06-01,42.913846871772
2017-07-01,42.935367968118
2017-08-01,42.312242525071
2017-09-01,43.102942411729
2017-10-01,43.32888616336
2017-11-01,43.252214220618
2017-12-01,42.798663553395
2018-01-01,43.417370853158
2018-02-01,43.189641354483
2018-03-01,43.068407206558
2018-04-01,44.004277632798
2018-05-01,43.53799927611
2018-06-01,43.37147757256
2018-07-01,42.8731019626
2018-08-01,43.792388084758
2018-09-01,43.824206237296
2018-10-01,43.352769415692
2018-11-01,43.762513494187
2018-12-01,44.060211219567
2019-01-01,44.05866820126
2019-02-01,43.781158618609
2019-03-01,44.813395103509
2019-04-01,44.376699257463
2019-05-01,44.61717454313
2019-06-01,45.228308578867
2019-07-01,44.989463601202
2019-08-01,44.597952649046
2019-09-01,45.12356208465
2019-10-01,45.264525085891
2019-11-01,45.110814821443
2019-12-01,45.276099290921
2020-01-01,45.625664568528
2020-02-01,45.77500326602
2020-03-01,45.162917062558
2020-04-01,34.616666588256
2020-05-01,35.132391350185
2020-06-01,39.506671843738
2020-07-01,39.125171236586
2020-08-01,39.044936879058
2020-09-01,40.283811718679
2020-10-01,41.997992704365
2020-11-01,41.2954661272
2020-12-01,41.485647667042
2021-01-01,41.246113807427
2021-02-01,41.439566506804
2021-03-01,41.933227562785
2021-04-01,43.484543023245
2021-05-01,43.769345245856
2021-06-01,43.173610872045
2021-07-01,44.614186238424
2021-08-01,44.265670683493
2021-09-01,43.224324710601
2021-10-01,43.855934905255
2021-11-01,44.119751531492
2021-12-01,44.581928797558
2022-01-01,43.772406884276
2022-02-01,44.074183128975
2022-03-01,44.226214004294
2022-04-01,45.529994280834
2022-05-01,44.688554889491
2022-06-01,45.153996499206
2022-07-01,44.752252872767
2022-08-01,45.171028758011
2022-09-01,45.337181621419
2022-10-01,46.085860021077
2022-11-01,45.933706510187
2022-12-01,45.747903503118
2023-01-01,46.568947542327
2023-02-01,46.316207131601
2023-03-01,46.511592195662
2023-04-01,46.347017150763
2023-05-01,45.813792163293
2023-06-01,46.107623922977
2023-07-01,46.306959602671
2023-08-01,46.375030688807
2023-09-01,46.413849177925
2023-10-01,45.351223838636
2023-11-01,46.486810664413
2023-12-01,46.313787717553
2024-01-01,46.128634642492
2024-02-01,47.135221059654
2024-03-01,46.290413056211
2024-04-01,46.484134216744
2024-05-01,46.857310376293
2024-06-01,45.899353865286
2024-07-01,46.308668811095
2024-08-01,46.304423487747
2024-09-01,46.458018408408
2024-10-01,46.226930901726
2024-11-01,45.92020484607
2024-12-01,46.034329038117
2025-01-01,46.13824389541
2025-02-01,45.479004390255
2025-03-01,45.712832258423
2025-04-01,45.505495883702
2025-05-01,45.657967653211
2025-06-01,46.670944943075
2025-07-01,46.065397882613
2025-08-01,45.516931112092
2025-09-01,45.521386234134
