IPC
30.21
30.321
30.349
30.43
30.433
30.538
30.656
30.69
30.978
31.301
31.305
31.541
31.78
31.777
31.872
31.914
31.979
32.173
32.33
32.481
32.561
32.568
32.744
33.021
33.349
33.487
33.614
33.786
33.856
34.011
33.984
34.294
34.407
34.441
34.498
34.66
34.814
34.923
35.113
35.335
35.403
35.666
35.8
36.037
36.2
36.226
36.462
36.586
37.117
37.425
37.754
38.352
38.761
39.076
40.078
40.722
41.691
42.224
42.744
44.405
45.996
47.033
47.396
48.041
48.417
48.896
49.603
50.128
50.696
51.702
53.137
53.552
54.237
54.537
54.88
55.344
56.084
57.036
57.494
57.992
58.413
58.713
59.124
59.606
60.759
61.894
62.502
62.939
63.38
63.633
64.17
64.787
